model,accuracy
claude-haiku-4-5,0.8466666666666667
claude-sonnet-4-5,0.9
claude-sonnet-4-6,0.9566666666666667
gemini-2.5-flash,0.81
gpt-4.1-mini,0.8033333333333333
gpt-4.1-nano,0.7
gpt-5,0.9666666666666667
gpt-5-mini,0.9233333333333333
gpt-5-nano,0.8766666666666667
gpt-5.1,0.9633333333333334
gpt-5.2,0.97
gpt-5.4,0.9565217391304348
