model,f1
claude-haiku-4-5,0.9008620689655172
claude-sonnet-4-5,0.9372384937238494
claude-sonnet-4-6,0.974155069582505
gemini-2.5-flash,0.8763557483731019
gpt-4.1-mini,0.8668171557562077
gpt-4.1-nano,0.7906976744186046
gpt-5,0.9803921568627451
gpt-5-mini,0.9525773195876288
gpt-5-nano,0.9211087420042644
gpt-5.1,0.9781312127236581
gpt-5.2,0.9822485207100592
gpt-5.4,0.974155069582505
