model,precision
claude-haiku-4-5,0.9766355140186916
claude-sonnet-4-5,0.9824561403508771
claude-sonnet-4-6,0.9683794466403162
gemini-2.5-flash,0.957345971563981
gpt-4.1-mini,0.9948186528497409
gpt-4.1-nano,0.9444444444444444
gpt-5,0.9615384615384616
gpt-5-mini,0.9829787234042553
gpt-5-nano,0.9863013698630136
gpt-5.1,0.9723320158102767
gpt-5.2,0.9688715953307393
gpt-5.4,0.9645669291338582
