model,intervention,scope,n,acc_seed,acc_new,b,c,delta,delta_lo,delta_hi,p_improve,p_degrade,p_improve_holm
gpt-5.4-nano,GEPA prompt (own search),held-out test,237,0.7426160337552743,0.9113924050632911,3,43,0.16877637130801687,0.11696540169618164,0.2205873409198521,2.3109691937861498e-10,0.9999999999846239,1.155484596893075e-09
gpt-5.4-nano,GEPA prompt (own search),all benchmark items,1186,0.7377740303541316,0.9198988195615514,10,226,0.1821247892074199,0.15894921227937442,0.20530036613546537,1.1529351115422139e-54,1.0,6.917610669253283e-54
gpt-4.1-nano,GEPA prompt (warm-started search),held-out test,241,0.7427385892116183,0.7842323651452282,25,35,0.04149377593360996,-0.02128426045646701,0.10427181232368693,0.12253041651147285,0.9224990479983697,0.3675912495344186
gpt-4.1-nano,GEPA prompt (warm-started search),all benchmark items,1177,0.7493627867459643,0.7952421410365336,104,158,0.045879354290569246,0.019052661925250996,0.0727060466558875,0.0005105881121910248,0.9996745812025349,0.002042352448764099
gpt-4.1-nano,prompt transferred from another model,held-out test,239,0.7405857740585774,0.6903765690376569,41,29,-0.0502092050209205,-0.11852640377747678,0.018107993735635784,0.9401953321850576,0.09410810151151383,1.0
gpt-4.1-nano,prompt transferred from another model,all benchmark items,1178,0.7478777589134126,0.6926994906621392,178,113,-0.055178268251273345,-0.0833857487478959,-0.0269707877546508,0.999948784562649,8.29267808051569e-05,1.0
