evaluation,n,TP,FP,TN,FN,accuracy,recall,specificity,positive_rate,mean_cost_usd
15 Mar,299,188,2,48,61,0.7892976588628763,0.7550200803212851,0.96,0.6354515050167224,0.002313496989966552
22 Mar,297,148,0,49,100,0.6632996632996633,0.5967741935483871,1.0,0.4983164983164983,0.002317912457912455
28 Mar,300,190,1,49,60,0.7966666666666666,0.76,0.98,0.6366666666666667,0.0023215526666666643
