model,run_id,split,seed_val,seed_test,best_val,best_test,conservative_test,metric_calls,completed,status,test_gain
gpt-4.1-nano,20260713-175215Z,839/180/180,0.7222222222222222,0.7888888888888889,,,,,False,exploratory_test_peek,
gpt-4.1-nano,20260713-184939Z,719/239/241,0.7656903765690377,0.7842323651452282,0.7949790794979079,0.7676348547717843,0.7676348547717843,1500.0,True,exploratory_test_peek,-0.016597510373443924
gpt-4.1-nano,20260714-085521Z,719/239/241,0.7615062761506276,0.7468879668049793,0.8158995815899581,0.7759336099585062,0.7759336099585062,2068.0,True,exploratory_test_peek,0.02904564315352698
gpt-5.4-nano,20260713-175208Z,839/180/180,0.7666666666666667,0.7611111111111111,,,,,False,exploratory_test_peek,
gpt-5.4-nano,20260713-184940Z,719/239/241,0.7782426778242678,0.7510373443983402,0.9539748953974896,0.9294605809128631,0.9294605809128631,1614.0,True,exploratory_test_peek,0.17842323651452285
