model,intervention,prompt,n,accuracy,FP,FN,inference_cost,J,J_symmetric
gpt-5.4-nano,GEPA prompt (own search),seed prompt,237,0.7426160337552743,2,59,0.000996410443037968,0.5002898485114357,0.2901716218119892
gpt-5.4-nano,GEPA prompt (own search),GEPA prompt (own search),241,0.9128630705394191,3,18,0.0010931566390041426,0.1536703411400318,0.09916172509090984
gpt-4.1-nano,GEPA prompt (warm-started search),seed prompt,241,0.7427385892116183,17,45,0.0007610350622406581,0.39205094409180347,0.2902437211884763
gpt-4.1-nano,GEPA prompt (warm-started search),GEPA prompt (warm-started search),241,0.7842323651452282,39,13,0.0008252935684647262,0.1491984436387788,0.24345591869402552
gpt-4.1-nano,prompt transferred from another model,seed prompt,241,0.7427385892116183,17,45,0.0007610350622406581,0.39205094409180347,0.2902437211884763
gpt-4.1-nano,prompt transferred from another model,prompt transferred from another model,239,0.6903765690376569,21,53,0.0008134205020920431,0.4661268193986597,0.3490916324281736
