discordance_psi,n_for_3pp,n_for_5pp,mde_n300_alpha005,mde_n300_alphastar
0.06,446,162,0.03649146669371298,0.05563993213308703
0.08,593,213,0.04221626168988756,0.0662979241350589
0.1,739,268,0.04712939899131064,0.07505579314465585
0.12,879,319,0.05152359985658398,0.08323945061743075
0.15,1086,398,0.05767274194008985,0.09440889046255876
0.2,1433,527,0.0664576909757677,0.11000207219890636
