leg,model,run_a,run_b,date_a,date_b,n_pairs,acc_a,acc_b,a,b,c,d,discordance,delta,delta_lo,delta_hi,p_down,p_up,p_relevant,p_relevant_holm
15->22 Mar (drop),gpt-4.1-mini,gha-23118723659,gha-23349348405,2026-03-15,2026-03-22,296,0.7871621621621622,0.6621621621621622,184,49,12,51,0.20608108108108109,-0.125,-0.1747173117207013,-0.07528268827929871,9.84939209043318e-07,0.999999770558439,9.84939209043318e-07,1.969878418086636e-06
22->28 Mar (recovery),gpt-4.1-mini,gha-23349348405,gha-23685528951,2026-03-22,2026-03-28,297,0.6632996632996633,0.7946127946127947,186,11,50,50,0.2053872053872054,0.13131313131313133,0.08198176882431933,0.1806444938019433,0.9999999518778746,2.294415609753117e-07,2.294415609753117e-07,6.883246829259351e-07
15->28 Mar (net),gpt-4.1-mini,gha-23118723659,gha-23685528951,2026-03-15,2026-03-28,299,0.7892976588628763,0.7959866220735786,229,7,9,54,0.05351170568561873,0.006688963210702341,-0.019520808436872265,0.03289873485827695,0.7727508544921875,0.4018096923828125,0.7727508544921875,0.7727508544921875
