model,start,trough,end,acc_start,acc_trough,acc_end,dip_pp,dip_p,rebound_pp,rebound_p,net_pp,recovered_share,dip_p_holm,rebound_p_holm,both_legs_significant
gpt-4.1-mini,2026-04-20,2026-04-27,2026-05-11,0.8060200668896321,0.7866666666666666,0.79,-0.016722408026755852,0.2024364471435547,0.0033333333333333335,0.5,-0.013377926421404682,0.1722350230414781,1.0,1.0,False
gpt-5-mini,2026-04-01,2026-04-06,2026-04-13,0.9066666666666666,0.8929765886287625,0.9230769230769231,-0.013377926421404682,0.2785985469818115,0.026845637583892617,0.08431877195835114,0.013377926421404682,2.1986970684039164,1.0,1.0,False
claude-sonnet-4-5,2026-04-20,2026-04-27,2026-05-04,0.8896321070234113,0.88,0.8926174496644296,-0.010033444816053512,0.30361938476562494,0.010067114093959731,0.30361938476562494,0.0,1.3099366144668256,1.0,1.0,False
gpt-5.2,2026-04-20,2026-04-27,2026-05-11,0.9766666666666667,0.9697986577181208,0.9732441471571907,-0.006711409395973154,0.3125,0.003367003367003367,0.5,-0.0033444816053511705,0.5016722408026778,1.0,1.0,False
gemini-2.5-flash,2026-05-25,2026-06-01,2026-06-08,0.8087248322147651,0.802013422818792,0.8087248322147651,-0.006734006734006734,0.3125,0.006756756756756757,0.34375,0.0,1.0,1.0,1.0,False
gpt-5.4,2026-04-27,2026-05-11,2026-05-18,0.9666666666666667,0.959866220735786,0.96,-0.006688963210702341,0.3125,0.0,0.75,-0.006666666666666667,0.019672131147531885,1.0,1.0,False
gpt-4.1-nano,2026-03-15,2026-03-22,2026-03-28,0.7233333333333334,0.7090301003344481,0.7324414715719063,-0.013377926421404682,0.3179140013144206,0.023411371237458192,0.1856490172355052,0.010033444816053512,1.6367887763055238,1.0,1.0,False
gemini-2.5-flash,2026-05-11,2026-05-18,2026-05-25,0.8120805369127517,0.8047138047138047,0.8087248322147651,-0.006779661016949152,0.34375,0.0033783783783783786,0.5,-0.003367003367003367,0.544478527607358,1.0,1.0,False
gemini-2.5-flash,2026-04-20,2026-05-04,2026-05-11,0.8093645484949833,0.802675585284281,0.8120805369127517,-0.006688963210702341,0.34375,0.010101010101010102,0.2265625,0.003367003367003367,1.406040268456381,1.0,1.0,False
gpt-5-nano,2026-04-27,2026-05-11,2026-05-18,0.8695652173913043,0.8624161073825504,0.8795986622073578,-0.006711409395973154,0.4300250329542905,0.016778523489932886,0.23656482994556427,0.010033444816053512,2.403453689167985,1.0,1.0,False
gpt-5.1,2026-06-01,2026-06-08,2026-06-15,0.9565217391304348,0.9530201342281879,0.9698996655518395,-0.003355704697986577,0.5,0.016835016835016835,0.08984375,0.013422818791946308,4.820512820512739,1.0,1.0,False
gpt-5.2,2026-05-25,2026-06-01,2026-06-08,0.9698996655518395,0.9666666666666667,0.9766666666666667,-0.0033444816053511705,0.5,0.01,0.125,0.006688963210702341,3.0931034482758526,1.0,1.0,False
gpt-5.4,2026-04-13,2026-04-20,2026-04-27,0.9562289562289562,0.9530201342281879,0.9666666666666667,-0.003389830508474576,0.5,0.013422818791946308,0.0625,0.010101010101010102,4.25281690140844,1.0,1.0,False
gpt-5,2026-06-01,2026-06-08,2026-06-15,0.9733333333333334,0.9698996655518395,0.9766666666666667,-0.0033444816053511705,0.5,0.006688963210702341,0.25,0.0033333333333333335,1.9707792207792023,1.0,1.0,False
gpt-5.4,2026-06-01,2026-06-08,2026-06-15,0.9632107023411371,0.959866220735786,0.9732441471571907,-0.0033444816053511705,0.5,0.013422818791946308,0.109375,0.010067114093959731,4.0,1.0,1.0,False
gpt-5,2026-05-18,2026-05-25,2026-06-01,0.9733333333333334,0.9697986577181208,0.9733333333333334,-0.003355704697986577,0.5,0.003355704697986577,0.5,0.0,1.0,1.0,1.0,False
gpt-5,2026-04-01,2026-04-06,2026-04-13,0.97,0.9665551839464883,0.9666666666666667,-0.0033444816053511705,0.5,0.0,0.75,-0.0033333333333333335,0.032362459546921706,1.0,1.0,False
claude-sonnet-4-6,2026-05-11,2026-05-18,2026-05-25,0.959866220735786,0.9566666666666667,0.9665551839464883,-0.0033444816053511705,0.5,0.010033444816053512,0.125,0.006711409395973154,3.0905923344947537,1.0,1.0,False
claude-sonnet-4-6,2026-04-20,2026-04-27,2026-05-04,0.9565217391304348,0.9533333333333334,0.9565217391304348,-0.0033444816053511705,0.5,0.0033444816053511705,0.5,0.0,1.0,1.0,1.0,False
claude-sonnet-4-5,2026-05-18,2026-05-25,2026-06-01,0.8963210702341137,0.8896321070234113,0.8966666666666666,-0.003355704697986577,0.5,0.006688963210702341,0.376953125,0.0,1.0516666666666648,1.0,1.0,False
claude-haiku-4-5,2026-05-25,2026-06-01,2026-06-08,0.8528428093645485,0.8494983277591973,0.8533333333333334,-0.003355704697986577,0.5,0.0033444816053511705,0.5,0.0,1.146666666666687,1.0,1.0,False
claude-haiku-4-5,2026-05-11,2026-05-18,2026-05-25,0.8533333333333334,0.85,0.8528428093645485,-0.0033333333333333335,0.5,0.0033444816053511705,0.5,0.0,0.8528428093645316,1.0,1.0,False
gpt-5.4,2026-06-22,2026-06-29,2026-07-06,0.96,0.9565217391304348,0.9633333333333334,-0.0033444816053511705,0.5,0.006688963210702341,0.34375,0.0033333333333333335,1.9583333333333732,1.0,1.0,False
gpt-5-mini,2026-04-13,2026-04-20,2026-04-27,0.9230769230769231,0.919732441471572,0.9266666666666666,0.0,0.5805901288986206,0.006688963210702341,0.4159059524536133,0.006688963210702341,2.07333333333331,1.0,1.0,False
gpt-4.1-mini,2026-04-01,2026-04-06,2026-04-13,0.8060200668896321,0.802675585284281,0.8033333333333333,0.0,0.5927352905273438,0.0,0.5880985260009766,0.0,0.1966666666666638,1.0,1.0,False
gpt-5-mini,2026-05-25,2026-06-01,2026-06-08,0.9066666666666666,0.9060402684563759,0.9261744966442953,0.0,0.5927352905273438,0.02027027027027027,0.1189422607421875,0.020134228187919462,32.14285714286071,1.0,1.0,False
gpt-5.2,2026-03-15,2026-03-22,2026-04-01,0.9666666666666667,0.9663299663299664,0.97,0.0,0.75,0.003367003367003367,0.5,0.0033333333333333335,10.900000000000924,1.0,1.0,False
