model,day,n,TP,FP,TN,FN,accuracy,fpr,fnr,recall,mean_cost,J_illus,prevalence
gpt-5,2026-05-22,1113,623,22,465,3,0.977538185085355,0.045174537987679675,0.004792332268370607,0.9952076677316294,0.006510838948787051,0.01683239878945853,0.5624438454627134
gpt-5.2,2026-05-22,1113,619,17,470,7,0.9784366576819407,0.03490759753593429,0.011182108626198083,0.9888178913738019,0.008416330188679228,0.024900236066622256,0.5624438454627134
gpt-5.1,2026-05-22,1113,611,17,470,15,0.9712488769092543,0.03490759753593429,0.023961661341853034,0.9760383386581469,0.005299487309074563,0.0363215999461113,0.5624438454627134
gpt-5.4,2026-05-22,1113,611,19,468,15,0.9694519317160827,0.039014373716632446,0.023961661341853034,0.9760383386581469,0.011515951257861624,0.04298076683180849,0.5624438454627134
gpt-5-mini,2026-05-22,1113,564,5,482,62,0.9398023360287511,0.01026694045174538,0.09904153354632587,0.9009584664536742,0.0012740251572326928,0.11505188488248423,0.5624438454627134
gpt-5-nano,2026-05-22,1113,522,4,483,104,0.9029649595687331,0.008213552361396304,0.16613418530351437,0.8338658146964856,0.00032575159478885564,0.19020784533682727,0.5624438454627134
gpt-4.1-nano,2026-05-22,1113,426,49,438,200,0.7762803234501348,0.10061601642710473,0.3194888178913738,0.6805111821086262,0.0006916013027852609,0.37499299223442595,0.5624438454627134
gpt-4.1-mini,2026-05-22,1113,358,2,485,268,0.7574123989218329,0.004106776180698152,0.4281150159744409,0.5718849840255591,0.0018695088948787037,0.48934213826142803,0.5624438454627134
