model,run_a,run_b,date_a,date_b,n_pairs,acc_a,acc_b,a,b,c,d,discordance,delta,delta_lo,delta_hi,p_down,p_up,p_down_holm_within_batch
gpt-4.1-mini,gha-23118723659,gha-23349348405,2026-03-15,2026-03-22,296,0.7871621621621622,0.6621621621621622,184,49,12,51,0.20608108108108109,-0.125,-0.1747173117207013,-0.07528268827929871,9.84939209043318e-07,0.999999770558439,7.879513672346544e-06
gpt-4.1-nano,gha-23118723659,gha-23349348405,2026-03-15,2026-03-22,299,0.7224080267558528,0.7090301003344481,194,22,18,65,0.13377926421404682,-0.013377926421404682,-0.05480880912424936,0.02805295628144,0.3179140013144206,0.7852047460783069,1.0
gpt-5-mini,gha-23118723659,gha-23349348405,2026-03-15,2026-03-22,296,0.918918918918919,0.9121621621621622,260,12,10,14,0.07432432432432433,-0.006756756756756757,-0.03780537495471281,0.0242918614411993,0.4159059524536133,0.7382664680480957,1.0
gpt-5.2,gha-23118723659,gha-23349348405,2026-03-15,2026-03-22,297,0.9663299663299664,0.9663299663299664,286,1,1,9,0.006734006734006734,0.0,-0.009332857179297193,0.009332857179297193,0.75,0.75,1.0
gpt-5,gha-23118723659,gha-23349348405,2026-03-15,2026-03-22,298,0.9664429530201343,0.9765100671140939,288,0,3,7,0.010067114093959731,0.010067114093959731,-0.0012674105375674507,0.021401638725486914,1.0,0.125,1.0
gemini-2.5-flash,gha-23118723659,gha-23349348405,2026-03-15,2026-03-22,298,0.7986577181208053,0.8120805369127517,238,0,4,56,0.013422818791946308,0.013422818791946308,0.0003570389485698308,0.026488598635322786,1.0,0.0625,1.0
gpt-5.1,gha-23118723659,gha-23349348405,2026-03-15,2026-03-22,296,0.956081081081081,0.9695945945945946,282,1,5,8,0.02027027027027027,0.013513513513513514,-0.002632854196153632,0.02965988122318066,0.984375,0.109375,1.0
gpt-5-nano,gha-23118723659,gha-23349348405,2026-03-15,2026-03-22,296,0.8344594594594594,0.8614864864864865,230,17,25,24,0.14189189189189189,0.02702702702702703,-0.015775384973487766,0.06982943902754182,0.9179252991084468,0.13997811926446957,1.0
