leg,n_pairs,acc_a,acc_b,b,c,discordance,delta,delta_lo,delta_hi,odds_degrade,p_relevant,p_relevant_holm_in_family
13 Apr -> 20 Apr (dip),300,0.8766666666666667,0.85,20,12,0.10666666666666667,-0.02666666666666667,-0.06350138137178428,0.01016804803845094,1.6666666666666667,0.10766357486136258,
20 Apr -> 27 Apr (rebound),299,0.8494983277591973,0.8695652173913043,14,20,0.11371237458193979,0.020066889632107024,-0.018088334720650863,0.05822211398486491,0.7,0.19576415256597102,
13 Apr -> 27 Apr (net),299,0.8762541806020067,0.8695652173913043,16,14,0.10033444816053512,-0.006688963210702341,-0.04258517807843144,0.02920725165702676,1.1428571428571428,0.42776777595281607,
